product_title,product_name,dist_type,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,process_fee,total_cost,gross_profit
Poors Sticker Pack 1,Poors (Original),Original,Sticker Sheet,1,12,0,0,12,0,12,0.36,4.5,7.140000000000001
Io Oppai 3D Mousepad,ancestralpotato (Original),Original,3D Mousepad,2,70,0,0,70,0,70,2.1,30.0,37.900000000000006
Corpulent Corporate Leadership Print,SweetDreamCoffee (Original),Original,Print,1,15,0,0,15,0,15,0.45,2.5,12.05
Corpulent Corporate Leadership Print,SweetDreamCoffee (Original),Original,Print,1,15,0,0,15,0,15,0.45,2.5,12.05
Lady Sticker,BambooAle (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Molly Sticker,Angstrom (Original),Original,Sticker,2,10,0,0,10,0,10,0.3,3.0,6.699999999999999
Molly Sticker,Angstrom (Original),Original,Sticker,5,25.85,0,0,25.85,0,25.85,0.78,7.5,17.57
Witch Poste Halloween 2024 Print,CriKai (Original),Original,Print,1,18,-4.5,0,13.5,0,13.5,0.4,2.5,10.6
Miss Maki Standee,Softon (Original),Original,Standee,1,25,0,0,25,0,25,0.75,0.0,24.25
Blissfully Oblivious,Better With Salt (Original),Original,Print,2,30.24,-3,0,27.24,0,27.24,0.82,5.0,21.419999999999998
Beef Beef 3' Sticker,Ransome Rex (Original),Original,Sticker,3,15.25,0,0,15.25,0,15.25,0.46,4.5,10.29
Booba Tea Sticker,Gobbocks (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.75,3.0999999999999996
Del Avry Bikini Pinup Sticker,CriKai (Original),Original,Sticker,1,5,-0.75,0,4.25,0,4.25,0.13,1.5,2.62
Io Cheeky Print,ancestralpotato (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Io Cheeky Print,ancestralpotato (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Yeet Summer Sticker Sheets,TheJieb (Original),Original,Sticker Sheet,4,60,0,0,60,0,60,1.8,18.0,40.2
Milky Pregnant Ivy Flores Sticker,CriKai (Original),Original,Sticker,1,7,0,0,7,0,7,0.21,2.5,4.29
Witch Poste Halloween Pinup Sticker,CriKai (Original),Original,Sticker,3,15,-3.75,0,11.25,0,11.25,0.34,4.5,6.41
Witch Poste Halloween Pinup Sticker,CriKai (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Michiru Sticker 3.5,matemi (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Thick Kim Print,SuperSpoe (Original),Original,Print,1,15,-2.25,0,12.75,0,12.75,0.38,2.5,9.87
Thick Kim Print,SuperSpoe (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Bermuda Muda Bellypad,Bermuda (Original),Original,Belly Mousepad,4,203.65,0,0,203.65,0,203.65,6.11,80.0,117.53999999999999
Mizuki Going Down Sticker,Bulumblebee (Original),Original,Sticker,1,8,0,0,8,0,8,0.24,2.5,5.26
Mizuki Going Down Sticker,Bulumblebee (Original),Original,Sticker,7,56,0,0,56,0,56,1.68,17.5,36.82
Uya Full Cream Sticker,Klebo (Original),Original,Sticker,2,16,0,0,16,0,16,0.48,6.0,9.52
Uya Full Cream Sticker,Klebo (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Mothman's Heat Stickers,Ransome Rex (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Voraisha Late Night Print,TheHelmetGuy (Collab) Voraisha,Collab,Print,1,26.2,0,0,26.2,0,26.2,0.79,5.0,20.41
JuJu Standee Collection,JujuNaught (Original),Original,Standee,4,100,0,0,100,0,100,3.0,44.0,53.0
JuJu Standee Collection,JujuNaught (Original),Original,Standee,2,50,0,0,50,0,50,1.5,22.0,26.5
