product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost,gross_profit
Milky Pregnant Ivy Flores Sticker,CriKai (Original),Sticker,1,7,0,0,7,0,7,2.5,4.5
Witch Poste Halloween Pinup Sticker,CriKai (Original),Sticker,3,15,-3.75,0,11.25,0,11.25,4.5,6.75
Witch Poste Halloween Pinup Sticker,CriKai (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Michiru Sticker 3.5'',matemi (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Thick Kim Print,SuperSpoe (Original),Print,1,15,-2.25,0,12.75,0,12.75,2.5,10.25
Thick Kim Print,SuperSpoe (Original),Print,1,25,0,0,25,0,25,5,20
Bermuda Muda Bellypad,Bermuda (Original),Belly Mousepad,4,203.65,0,0,203.65,0,203.65,80,123.65
Mizuki Going Down Sticker,Bulumblebee (Original),Sticker,1,8,0,0,8,0,8,2.5,5.5
Mizuki Going Down Sticker,Bulumblebee (Original),Sticker,7,56,0,0,56,0,56,17.5,38.5
Uya Full Cream Sticker,Klebo (Original),Sticker,2,16,0,0,16,0,16,6,10
Uya Full Cream Sticker,Klebo (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Mothman's Heat Stickers,Ransome Rex (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Voraisha Late Night Print,TheHelmetGuy (Collab) Voraisha,Print,1,26.2,0,0,26.2,0,26.2,5,21.2
JuJu Standee Collection,JujuNaught (Original),Standee,4,100,0,0,100,0,100,44,56
JuJu Standee Collection,JujuNaught (Original),Standee,2,50,0,0,50,0,50,22,28
Moomochi Standee,Fapolantern (Collab) Takamoom,Standee,3,72,0,-18,54,0,54,27,27
Lil Beast Sticker,Vetarix (Original),Sticker,2,10,0,0,10,0,10,3,7
Lil Beast Sticker,Vetarix (Original),Sticker,7,35,0,0,35,0,35,10.5,24.5
Cake Rising Print,SweetDreamCoffee (Original),Print,1,15.42,0,0,15.42,0,15.42,2.5,12.92
Cake Rising Print,SweetDreamCoffee (Original),Print,1,15,0,0,15,0.9,15.9,2.5,12.5
Full Fridge Print,Better With Salt (Original),Print,2,30,0,0,30,0.9,30.9,5,25
Iconic Plant Girl (Standee),Skullgeist (Original),Standee,1,26.1,0,0,26.1,0,26.1,10,16.1
Iconic Plant Girl (Standee),Skullgeist (Original),Standee,6,151.72,-1.28,0,150.44,0,150.44,20,30
Kanna Sticker,Angstrom (Original),Sticker,12,60,-1.5,0,58.5,0,58.5,18,40.5
Yore Valentines Day Sticker,Radavaris (Original),Sticker,1,5,0,0,5,0,5,1,4
Yore Valentines Day Sticker,Radavaris (Original),Sticker,1,5,0,0,5,0,5,1,4
Orpheus Print,Radium225 (Original),,0,15,0,-15,0,0,0,0,0
Liz Standee,Skullgeist (Original),Standee,6,152.32,-1.28,0,151.04,0,151.04,20,30
X-BurgerG0dde55_Xx Photocard Set,KappAllNight (Original),Photocard,4,100,0,0,100,0,100,30,70
X-BurgerG0dde55_Xx Photocard Set,KappAllNight (Original),Photocard,2,52.2,0,0,52.2,0,52.2,15,37.2
Miffu TigerEye Print,JujuNaught (Original),Print,1,25,0,0,25,0,25,5,20
AB-Xrd Temperature,Lewdwok (Original),Print,1,25,0,0,25,0,25,5,20
Airing out the Gals,SuperSpoe (Original),Print,1,15,0,0,15,0,15,2.5,12.5
Sneaker Mommy Sticker,Crystalcheese (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
MIL-K Sticker,StixDraws (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Flimsy Fashion Print,SweetDreamCoffee (Original),Print,1,15,0,0,15,0,15,2.5,12.5
Flame Gal Pap Sticker,Bulumblebee (Original),Sticker,7,35,0,0,35,0,35,10.5,24.5
Flame Gal Pap Sticker,Bulumblebee (Original),Sticker,5,25,0,0,25,0,25,7.5,17.5
Mommy's Got Meat Physical Doujin,BobberKyu (Original),Book,1,25,0,0,25,0,25,10,15
Berry Clear Water Bottle,Bermuda (Collab) Berry,Water Bottle,1,29,0,0,29,0,29,22.95,6.05
Koi Girl Sticker Collection,Radium225 (Original),Sticker,1,20.99,0,0,20.99,0,20.99,7.5,13.49
Get Hearted Sticker,Fumetsu No Tora (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Fridge Raid,Mistko (Original),,1,20,0,0,20,0,20,3,17
