product_title,product_name,dist_type,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,process_fee,total_cost,gross_profit
Dinner Date Standee,VeryBatty,Original,Standee,7,175,0,0,175,1.5,176.5,5.29,56,115.21
Stellar Cafe Charm,Skullgeist,Original,Charm,1,15,0,0,15,0,15,0.45,3,11.55
Iconic Plant Girl Sticker,Skullgeist,Original,Sticker,2,10.19,-1.51,0,8.68,0,8.68,0.26,3,5.42
Kaiyo Daki Keychain,Kaiyo (Commercial),Commercial,Daki Keychain,1,12.5,0,0,12.5,0,12.5,0.38,3.5,8.62
Weh-Loon Sticker,Nyanilla,Original,Sticker,2,10,-1.25,0,8.75,0,8.75,0.26,3,5.49
Emily Sequence WG Print,WaifuDekai,Original,print,0,21.15,0,-21.15,0,0,0,0,4.5,-4.5
Beach Buns Print,Better With Salt,Original,Print,0,15,0,-13.5,1.5,0,1.5,0.04,3.5,-2.04
Fantasizing WG Print,WaifuDekai,Original,print,0,21.15,0,-21.15,0,0,0,0,4.5,-4.5
Kerfus Bikini 4' Sticker,WaifuDekai,Original,Sticker,0,6.64,0,-6.64,0,0,0,0,1,-1
"Kerfus 3"" Sticker",WaifuDekai,Original,Sticker,0,5.52,0,-5.52,0,0,0,0,1.5,-1.5
